ID,Name,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,Year
1,Alabama,62.7,-0.4,38,63.1,2010
2,Arizona,60.4,1,96,59.4,2010
3,Arkansas,61.2,0.8,96,60.4,2010
4,California,57.7,0.3,77,57.4,2010
5,Colorado,46.2,1.5,110,44.6,2010
6,Connecticut,51.4,3.3,124,48,2010
7,Delaware,56.7,2.5,115,54.2,2010
8,Florida,69.2,-0.9,15,70.1,2010
9,Georgia,63,-0.4,35,63.4,2010
10,Idaho,43.3,0.7,86,42.6,2010
11,Illinois,52.9,1.3,100,51.6,2010
12,Indiana,52.6,1.3,100,51.3,2010
13,Iowa,48.2,0.7,87,47.5,2010
14,Kansas,55.3,1.1,99,54.1,2010
15,Kentucky,56,0.5,78,55.5,2010
16,Louisiana,66.5,0.1,60,66.4,2010
17,Maine,44.6,4.5,129,40.1,2010
18,Maryland,55.9,2.1,113,53.8,2010
19,Massachusetts,50.4,3.4,125,46.9,2010
20,Michigan,47.1,3.5,124,43.6,2010
21,Minnesota,42.8,2.8,117,40.1,2010
22,Mississippi,63.5,-0.1,49,63.6,2010
23,Missouri,55.2,0.7,93,54.5,2010
24,Montana,41.6,0.4,76,41.1,2010
25,Nebraska,49.3,1,91,48.4,2010
26,Nevada,50.1,0.6,79,49.5,2010
27,New Hampshire,46,3.6,126,42.3,2010
28,New Jersey,54.7,3.2,121,51.4,2010
29,New Mexico,54.2,1.3,102,52.8,2010
30,New York,47.3,2.8,121,44.5,2010
31,North Carolina,59,0.5,80,58.5,2010
32,North Dakota,40.9,1.2,92,39.7,2010
33,Ohio,51.7,1.3,100,50.4,2010
34,Oklahoma,60.3,0.6,90,59.7,2010
35,Oregon,47.1,0.6,82,46.5,2010
36,Pennsylvania,50.1,2,114,48.1,2010
37,Rhode Island,52,3.4,123,48.6,2010
38,South Carolina,62.6,0.2,72,62.4,2010
39,South Dakota,45.1,0.6,83,44.6,2010
40,Tennessee,57.9,0.3,70,57.7,2010
41,Texas,65.1,0.5,80,64.6,2010
42,Utah,48.3,0.8,86,47.5,2010
43,Vermont,44.9,3.5,124,41.3,2010
44,Virginia,55.9,1.1,101,54.8,2010
45,Washington,47.1,1,99,46.1,2010
46,West Virginia,52.1,0.5,78,51.6,2010
47,Wisconsin,45.5,3.1,120,42.4,2010
48,Wyoming,42,1.2,97,40.7,2010
1,Alabama,63.8,0.7,94,63.1,2011
2,Arizona,60.3,1,92,59.4,2011
3,Arkansas,61.8,1.4,111,60.4,2011
4,California,57.4,0.1,58,57.4,2011
5,Colorado,45.4,0.8,90,44.6,2011
6,Connecticut,50.9,2.8,118,48,2011
7,Delaware,57.4,3.2,124,54.2,2011
8,Florida,71.7,1.6,115,70.1,2011
9,Georgia,64.6,1.3,110,63.4,2011
10,Idaho,42.4,-0.2,47,42.6,2011
11,Illinois,53.2,1.5,103,51.6,2011
12,Indiana,53.1,1.8,109,51.3,2011
13,Iowa,48.4,0.9,92,47.5,2011
14,Kansas,55.2,1.1,98,54.1,2011
15,Kentucky,56.9,1.4,106,55.5,2011
16,Louisiana,67.7,1.3,113,66.4,2011
17,Maine,42.8,2.7,118,40.1,2011
18,Maryland,56.5,2.8,121,53.8,2011
19,Massachusetts,49.7,2.7,119,46.9,2011
20,Michigan,45.6,2.1,109,43.6,2011
21,Minnesota,42,2,108,40.1,2011
