# Title: January - December 2010 Contiguous U.S. Statewide Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
1,Alabama,62.7,-0.4,38,63.1
2,Arizona,60.4,1,96,59.4
3,Arkansas,61.2,0.8,96,60.4
4,California,57.7,0.3,77,57.4
5,Colorado,46.2,1.5,110,44.6
6,Connecticut,51.4,3.3,124,48
7,Delaware,56.7,2.5,115,54.2
8,Florida,69.2,-0.9,15,70.1
9,Georgia,63,-0.4,35,63.4
10,Idaho,43.3,0.7,86,42.6
11,Illinois,52.9,1.3,100,51.6
12,Indiana,52.6,1.3,100,51.3
13,Iowa,48.2,0.7,87,47.5
14,Kansas,55.3,1.1,99,54.1
15,Kentucky,56,0.5,78,55.5
16,Louisiana,66.5,0.1,60,66.4
17,Maine,44.6,4.5,129,40.1
18,Maryland,55.9,2.1,113,53.8
19,Massachusetts,50.4,3.4,125,46.9
20,Michigan,47.1,3.5,124,43.6
21,Minnesota,42.8,2.8,117,40.1
22,Mississippi,63.5,-0.1,49,63.6
23,Missouri,55.2,0.7,93,54.5
24,Montana,41.6,0.4,76,41.1
25,Nebraska,49.3,1,91,48.4
26,Nevada,50.1,0.6,79,49.5
27,New Hampshire,46,3.6,126,42.3
28,New Jersey,54.7,3.2,121,51.4
29,New Mexico,54.2,1.3,102,52.8
30,New York,47.3,2.8,121,44.5
31,North Carolina,59,0.5,80,58.5
32,North Dakota,40.9,1.2,92,39.7
33,Ohio,51.7,1.3,100,50.4
34,Oklahoma,60.3,0.6,90,59.7
35,Oregon,47.1,0.6,82,46.5
36,Pennsylvania,50.1,2,114,48.1
37,Rhode Island,52,3.4,123,48.6
38,South Carolina,62.6,0.2,72,62.4
39,South Dakota,45.1,0.6,83,44.6
40,Tennessee,57.9,0.3,70,57.7
41,Texas,65.1,0.5,80,64.6
42,Utah,48.3,0.8,86,47.5
43,Vermont,44.9,3.5,124,41.3
44,Virginia,55.9,1.1,101,54.8
45,Washington,47.1,1,99,46.1
46,West Virginia,52.1,0.5,78,51.6
47,Wisconsin,45.5,3.1,120,42.4
48,Wyoming,42,1.2,97,40.7
