State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AK,260.96,294.68,261.9,264.02,242.3,265.22,261.65,249.43,274.23,260.68,265.91,265.2,316.39
AL,126.34,115.81,108.17,97.08,94.2,81.82,84.53,77.81,70.26,66.51,66.6,50.61,73.95
AR,94.53,116.44,142.74,128.81,98.94,85.96,82.38,82.2,90.11,90.03,78.49,70.63,80.72
AZ,213.99,162.28,172.42,159.24,155.93,144.9,139.85,127.02,137.82,137.48,152.77,75.08,184.0
CA,330.87,332.45,316.47,309.85,295.24,297.39,301.64,334.19,329.36,382.86,408.95,146.81,439.34
CO,306.74,295.17,322.92,185.12,187.44,182.6,190.46,194.94,190.77,167.03,170.19,147.02,178.0
CT,120.59,124.18,117.09,123.73,123.8,112.82,109.05,94.81,111.33,85.07,81.2,71.95,81.19
DC,1080.42,1056.15,1095.25,1055.21,1169.81,1080.54,1217.53,1075.4,984.11,923.98,951.05,763.93,657.28
DE,109.16,114.06,110.14,102.43,96.62,101.25,112.76,103.89,112.07,94.58,117.46,157.13,232.38
FL,305.38,297.52,285.89,244.87,209.32,177.64,162.8,153.55,146.06,131.89,127.31,96.75,116.69
GA,204.24,213.98,207.2,170.18,164.11,135.48,125.31,97.73,90.37,98.36,95.36,50.84,97.95
HI,427.72,448.62,447.8,449.85,489.06,535.85,554.86,506.88,459.67,452.87,445.02,172.11,414.55
IA,98.8,102.21,95.18,99.71,100.41,98.72,97.85,87.73,87.31,73.37,82.95,79.24,75.6
ID,149.36,138.83,123.36,110.54,128.99,119.08,133.56,118.59,114.94,129.54,125.18,99.18,103.04
IL,112.11,108.87,109.79,104.11,101.73,102.47,90.4,84.5,83.65,80.49,81.55,62.71,73.21
IN,99.41,95.08,95.74,92.8,90.56,88.72,87.39,81.68,78.53,81.27,82.85,73.01,79.75
KS,70.81,87.51,93.02,93.08,95.95,88.96,77.47,78.63,76.12,81.73,83.35,61.37,81.62
KY,152.32,138.08,119.23,119.08,115.28,102.53,95.47,90.4,82.67,91.3,88.97,56.44,88.31
LA,274.66,203.05,168.92,113.01,99.18,87.49,85.38,70.76,65.65,63.26,68.21,46.06,160.7
MA,253.51,251.97,262.66,283.45,314.04,311.07,287.36,256.06,291.57,267.99,256.87,215.66,222.08
MD,187.35,174.81,160.59,138.52,131.87,140.17,128.08,120.3,118.36,108.52,103.02,73.68,86.78
ME,179.19,184.22,180.23,227.11,204.88,178.58,168.33,170.84,187.89,156.67,153.68,149.62,317.49
MI,132.2,133.42,127.23,116.28,123.13,105.88,93.62,90.75,83.64,85.86,85.77,67.31,81.79
MN,148.17,140.19,144.03,151.73,153.68,137.65,132.92,137.76,129.2,141.45,139.04,118.49,138.55
MO,135.46,149.56,169.93,142.05,120.24,106.76,101.76,98.86,96.1,100.68,106.05,79.83,97.0
MS,92.34,77.42,80.87,80.4,74.44,66.36,58.17,49.26,45.35,39.78,37.42,21.22,40.7
MT,163.02,177.28,182.61,185.29,170.77,165.85,136.23,145.28,132.46,126.97,142.11,162.79,141.16
NC,127.33,133.53,138.72,123.62,115.69,106.51,94.13,87.28,89.27,88.81,88.77,68.6,87.72
ND,118.42,88.0,98.12,286.55,170.6,173.06,122.34,144.25,71.5,73.09,69.4,70.44,78.31
