State,Year,CoCs,Population,CoCs_per_hundredthousands
AK,2010,2,713910,0.28014735751005027
AL,2010,8,4785437,0.1671738652081304
AR,2010,5,2921964,0.17111778242305517
AZ,2010,3,6407172,0.04682252950287584
CA,2010,43,37319502,0.11522125884745194
CO,2010,3,5047349,0.059437142151256034
CT,2010,10,3579114,0.27939875622849675
DC,2010,1,605226,0.16522753483822572
DE,2010,1,899593,0.11116138075774266
FL,2010,28,18845537,0.14857629156441654
GA,2010,7,9711881,0.07207666568402146
HI,2010,2,1363963,0.1466315435242745
IA,2010,3,3050745,0.09833663580535246
ID,2010,2,1570746,0.12732803394056072
IL,2010,21,12840503,0.16354499508313655
IN,2010,3,6490432,0.04622188476822498
KS,2010,5,2858190,0.17493588599778181
KY,2010,3,4348181,0.068994367989741
LA,2010,9,4544532,0.19804019423782251
MA,2010,20,6566307,0.304585210530059
MD,2010,16,5788645,0.2764031997125407
ME,2010,3,1327629,0.2259667422148808
MI,2010,21,9877510,0.2126041887074779
MN,2010,11,5310828,0.20712401154772853
MO,2010,8,5995974,0.13342286007244195
MS,2010,3,2970548,0.10099146689432388
MT,2010,1,990697,0.10093903585051736
NC,2010,12,9574323,0.12533523257989101
ND,2010,1,674715,0.14821072601024135
NE,2010,7,1829542,0.38260941809480187
NH,2010,3,1316762,0.2278316051040355
NJ,2010,20,8799446,0.22728703602476794
NM,2010,2,2064552,0.09687331682612015
NV,2010,3,2702405,0.11101222799691386
NY,2010,32,19399878,0.16494949091947897
OH,2010,9,11539336,0.07799408908796832
OK,2010,8,3759944,0.2127691263486903
OR,2010,8,3837491,0.2084695442933938
PA,2010,17,12711160,0.13374074435378044
RI,2010,1,1053959,0.09488035113320348
SC,2010,4,4635649,0.08628780997008186
SD,2010,1,816166,0.12252409436315652
TN,2010,10,6355311,0.15734871196704614
TX,2010,17,25241971,0.06734814805072076
UT,2010,3,2775332,0.10809517564024773
VA,2010,22,8023699,0.27418775305504356
VT,2010,2,625879,0.31955058405858
WA,2010,7,6742830,0.10381397721728117
WI,2010,4,5690475,0.07029290173491667
WV,2010,4,1854239,0.21572192149987138
WY,2010,1,564487,0.17715199818596353
AK,2011,2,722128,0.2769592094476325
AL,2011,8,4799069,0.16669899932674442
AR,2011,7,2940667,0.2380412335024673
AZ,2011,3,6472643,0.04634891805403141
CA,2011,42,37638369,0.1115882571851081
