Year,State,Democrat_Count,Republican_Count,Democrat_Percentage,Republican_Percentage
2010,ALABAMA,1,6,14.285714285714285,85.71428571428571
2011,ALABAMA,1,6,14.285714285714285,85.71428571428571
2012,ALABAMA,1,6,14.285714285714285,85.71428571428571
2013,ALABAMA,1,6,14.285714285714285,85.71428571428571
2014,ALABAMA,1,6,14.285714285714285,85.71428571428571
2015,ALABAMA,1,6,14.285714285714285,85.71428571428571
2016,ALABAMA,1,6,14.285714285714285,85.71428571428571
2017,ALABAMA,1,6,14.285714285714285,85.71428571428571
2018,ALABAMA,1,6,14.285714285714285,85.71428571428571
2019,ALABAMA,1,6,14.285714285714285,85.71428571428571
2020,ALABAMA,1,6,14.285714285714285,85.71428571428571
2021,ALABAMA,1,6,14.285714285714285,85.71428571428571
2022,ALABAMA,1,6,14.285714285714285,85.71428571428571
2010,ALASKA,0,1,0.0,100.0
2011,ALASKA,0,1,0.0,100.0
2012,ALASKA,0,1,0.0,100.0
2013,ALASKA,0,1,0.0,100.0
2014,ALASKA,0,1,0.0,100.0
2015,ALASKA,0,1,0.0,100.0
2016,ALASKA,0,1,0.0,100.0
2017,ALASKA,0,1,0.0,100.0
2018,ALASKA,0,1,0.0,100.0
2019,ALASKA,0,1,0.0,100.0
2020,ALASKA,0,1,0.0,100.0
2021,ALASKA,0,1,0.0,100.0
2022,ALASKA,1,0,100.0,0.0
2010,ARIZONA,3,5,37.5,62.5
2011,ARIZONA,3,5,37.5,62.5
2012,ARIZONA,5,4,55.55555555555556,44.44444444444444
2013,ARIZONA,5,4,55.55555555555556,44.44444444444444
2014,ARIZONA,4,5,44.44444444444444,55.55555555555556
2015,ARIZONA,4,5,44.44444444444444,55.55555555555556
2016,ARIZONA,4,5,44.44444444444444,55.55555555555556
2017,ARIZONA,4,5,44.44444444444444,55.55555555555556
2018,ARIZONA,5,4,55.55555555555556,44.44444444444444
2019,ARIZONA,5,4,55.55555555555556,44.44444444444444
2020,ARIZONA,5,4,55.55555555555556,44.44444444444444
2021,ARIZONA,5,4,55.55555555555556,44.44444444444444
2022,ARIZONA,3,6,33.33333333333333,66.66666666666666
2010,ARKANSAS,1,3,25.0,75.0
2011,ARKANSAS,1,3,25.0,75.0
2012,ARKANSAS,0,4,0.0,100.0
2013,ARKANSAS,0,4,0.0,100.0
2014,ARKANSAS,0,4,0.0,100.0
2015,ARKANSAS,0,4,0.0,100.0
2016,ARKANSAS,0,4,0.0,100.0
2017,ARKANSAS,0,4,0.0,100.0
2018,ARKANSAS,0,4,0.0,100.0
2019,ARKANSAS,0,4,0.0,100.0
2020,ARKANSAS,0,4,0.0,100.0
2021,ARKANSAS,0,4,0.0,100.0
2022,ARKANSAS,0,4,0.0,100.0
2010,CALIFORNIA,34,19,64.15094339622641,35.84905660377358
2011,CALIFORNIA,34,19,64.15094339622641,35.84905660377358
2012,CALIFORNIA,38,15,71.69811320754717,28.30188679245283
2013,CALIFORNIA,38,15,71.69811320754717,28.30188679245283
2014,CALIFORNIA,39,14,73.58490566037736,26.41509433962264
2015,CALIFORNIA,39,14,73.58490566037736,26.41509433962264
2016,CALIFORNIA,39,14,73.58490566037736,26.41509433962264
2017,CALIFORNIA,39,14,73.58490566037736,26.41509433962264
2018,CALIFORNIA,46,7,86.79245283018868,13.20754716981132
2019,CALIFORNIA,46,7,86.79245283018868,13.20754716981132
2020,CALIFORNIA,42,11,79.24528301886792,20.754716981132077
2021,CALIFORNIA,42,11,79.24528301886792,20.754716981132077
2022,CALIFORNIA,40,12,76.92307692307693,23.076923076923077
2010,COLORADO,3,4,42.857142857142854,57.14285714285714
2011,COLORADO,3,4,42.857142857142854,57.14285714285714
2012,COLORADO,3,4,42.857142857142854,57.14285714285714
2013,COLORADO,3,4,42.857142857142854,57.14285714285714
2014,COLORADO,3,4,42.857142857142854,57.14285714285714
2015,COLORADO,3,4,42.857142857142854,57.14285714285714
2016,COLORADO,3,4,42.857142857142854,57.14285714285714
2017,COLORADO,3,4,42.857142857142854,57.14285714285714
2018,COLORADO,4,3,57.14285714285714,42.857142857142854
2019,COLORADO,4,3,57.14285714285714,42.857142857142854
2020,COLORADO,4,3,57.14285714285714,42.857142857142854
2021,COLORADO,4,3,57.14285714285714,42.857142857142854
2022,COLORADO,5,3,62.5,37.5
2010,CONNECTICUT,5,0,100.0,0.0
2011,CONNECTICUT,5,0,100.0,0.0
2012,CONNECTICUT,5,0,100.0,0.0
2013,CONNECTICUT,5,0,100.0,0.0
2014,CONNECTICUT,5,0,100.0,0.0
2015,CONNECTICUT,5,0,100.0,0.0
2016,CONNECTICUT,5,0,100.0,0.0
2017,CONNECTICUT,5,0,100.0,0.0
2018,CONNECTICUT,5,0,100.0,0.0
2019,CONNECTICUT,5,0,100.0,0.0
2020,CONNECTICUT,5,0,100.0,0.0
2021,CONNECTICUT,5,0,100.0,0.0
2022,CONNECTICUT,5,0,100.0,0.0
2010,DELAWARE,1,0,100.0,0.0
2011,DELAWARE,1,0,100.0,0.0
2012,DELAWARE,1,0,100.0,0.0
2013,DELAWARE,1,0,100.0,0.0
2014,DELAWARE,1,0,100.0,0.0
2015,DELAWARE,1,0,100.0,0.0
2016,DELAWARE,1,0,100.0,0.0
2017,DELAWARE,1,0,100.0,0.0
2018,DELAWARE,1,0,100.0,0.0
2019,DELAWARE,1,0,100.0,0.0
2020,DELAWARE,1,0,100.0,0.0
2021,DELAWARE,1,0,100.0,0.0
2022,DELAWARE,1,0,100.0,0.0
2010,FLORIDA,6,19,24.0,76.0
2011,FLORIDA,6,19,24.0,76.0
2012,FLORIDA,10,17,37.03703703703704,62.96296296296296
2013,FLORIDA,10,17,37.03703703703704,62.96296296296296
2014,FLORIDA,10,17,37.03703703703704,62.96296296296296
2015,FLORIDA,10,17,37.03703703703704,62.96296296296296
2016,FLORIDA,11,16,40.74074074074074,59.25925925925925
2017,FLORIDA,11,16,40.74074074074074,59.25925925925925
2018,FLORIDA,13,14,48.148148148148145,51.85185185185185
2019,FLORIDA,13,14,48.148148148148145,51.85185185185185
2020,FLORIDA,11,16,40.74074074074074,59.25925925925925
2021,FLORIDA,11,16,40.74074074074074,59.25925925925925
2022,FLORIDA,8,20,28.57142857142857,71.42857142857143
2010,GEORGIA,5,8,38.46153846153847,61.53846153846154
2011,GEORGIA,5,8,38.46153846153847,61.53846153846154
2012,GEORGIA,5,9,35.714285714285715,64.28571428571429
2013,GEORGIA,5,9,35.714285714285715,64.28571428571429
2014,GEORGIA,4,10,28.57142857142857,71.42857142857143
2015,GEORGIA,4,10,28.57142857142857,71.42857142857143
