year,state,governor,party
2010,Alabama,Bob Riley,Republican
2011,Alabama,Robert Bentley,Republican
2012,Alabama,Robert Bentley,Republican
2013,Alabama,Robert Bentley,Republican
2014,Alabama,Robert Bentley,Republican
2015,Alabama,Robert Bentley,Republican
2016,Alabama,Robert Bentley,Republican
2017,Alabama,Robert Bentley,Republican
2018,Alabama,Kay Ivey,Republican
2019,Alabama,Kay Ivey,Republican
2020,Alabama,Kay Ivey,Republican
2021,Alabama,Kay Ivey,Republican
2022,Alabama,Kay Ivey,Republican
2010,Alaska,Sean Parnell,Republican
2011,Alaska,Sean Parnell,Republican
2012,Alaska,Sean Parnell,Republican
2013,Alaska,Sean Parnell,Republican
2014,Alaska,Bill Walker,Independent
2015,Alaska,Bill Walker,Independent
2016,Alaska,Bill Walker,Independent
2017,Alaska,Bill Walker,Independent
2018,Alaska,Bill Walker,Independent
2019,Alaska,Mike Dunleavy,Republican
2020,Alaska,Mike Dunleavy,Republican
2021,Alaska,Mike Dunleavy,Republican
2022,Alaska,Mike Dunleavy,Republican
2010,Arizona,Jan Brewer,Republican
2011,Arizona,Jan Brewer,Republican
2012,Arizona,Jan Brewer,Republican
2013,Arizona,Jan Brewer,Republican
2014,Arizona,Jan Brewer,Republican
2015,Arizona,Jan Brewer,Republican
2016,Arizona,Doug Ducey,Republican
2017,Arizona,Doug Ducey,Republican
2018,Arizona,Doug Ducey,Republican
2019,Arizona,Doug Ducey,Republican
2020,Arizona,Doug Ducey,Republican
2021,Arizona,Doug Ducey,Republican
2022,Arizona,Doug Ducey,Republican
2010,Arkansas,Mike Beebe,Democrat
2011,Arkansas,Mike Beebe,Democrat
2012,Arkansas,Mike Beebe,Democrat
2013,Arkansas,Mike Beebe,Democrat
2014,Arkansas,Mike Beebe,Democrat
2015,Arkansas,Mike Beebe,Democrat
2016,Arkansas,Asa Hutchinson,Republican
2017,Arkansas,Asa Hutchinson,Republican
2018,Arkansas,Asa Hutchinson,Republican
2019,Arkansas,Asa Hutchinson,Republican
2020,Arkansas,Asa Hutchinson,Republican
2021,Arkansas,Asa Hutchinson,Republican
2022,Arkansas,Asa Hutchinson,Republican
