Year,State,Democrat_Count,Republican_Count,Democrat_Percentage,Republican_Percentage
2010,ALABAMA,0,1,0,100
2011,ALABAMA,0,1,0,100
2012,ALABAMA,0,1,0,100
2013,ALABAMA,0,1,0,100
2014,ALABAMA,0,1,0,100
2015,ALABAMA,0,1,0,100
2016,ALABAMA,0,1,0,100
2017,ALABAMA,0,1,0,100
2018,ALABAMA,0,1,0,100
2019,ALABAMA,0,1,0,100
2020,ALABAMA,0,1,0,100
2021,ALABAMA,0,1,0,100
2022,ALABAMA,0,1,0,100
2010,ALASKA,1,1,50,50
2011,ALASKA,1,1,50,50
2012,ALASKA,1,1,50,50
2013,ALASKA,1,1,50,50
2014,ALASKA,0,1,0,100
2015,ALASKA,0,1,0,100
2016,ALASKA,0,1,0,100
2017,ALASKA,0,1,0,100
2018,ALASKA,0,1,0,100
2019,ALASKA,0,1,0,100
2020,ALASKA,0,1,0,100
2021,ALASKA,0,1,0,100
2022,ALASKA,0,1,0,100
2010,ARIZONA,0,1,0,100
2011,ARIZONA,0,1,0,100
2012,ARIZONA,0,1,0,100
2013,ARIZONA,0,1,0,100
2014,ARIZONA,0,1,0,100
2015,ARIZONA,0,1,0,100
2016,ARIZONA,0,1,0,100
2017,ARIZONA,0,1,0,100
2018,ARIZONA,1,0,100,0
2019,ARIZONA,1,0,100,0
2020,ARIZONA,1,0,100,0
2021,ARIZONA,1,0,100,0
2022,ARIZONA,1,0,100,0
2010,ARKANSAS,0,1,0,100
2011,ARKANSAS,0,1,0,100
2012,ARKANSAS,0,1,0,100
2013,ARKANSAS,0,1,0,100
2014,ARKANSAS,0,1,0,100
2015,ARKANSAS,0,1,0,100
2016,ARKANSAS,0,1,0,100
2017,ARKANSAS,0,1,0,100
2018,ARKANSAS,0,1,0,100
2019,ARKANSAS,0,1,0,100
2020,ARKANSAS,0,1,0,100
2021,ARKANSAS,0,1,0,100
2022,ARKANSAS,0,1,0,100
2010,CALIFORNIA,1,0,100,0
2011,CALIFORNIA,1,0,100,0
2012,CALIFORNIA,1,0,100,0
2013,CALIFORNIA,1,0,100,0
2014,CALIFORNIA,1,0,100,0
2015,CALIFORNIA,1,0,100,0
2016,CALIFORNIA,1,0,100,0
2017,CALIFORNIA,1,0,100,0
2018,CALIFORNIA,1,0,100,0
2019,CALIFORNIA,1,0,100,0
2020,CALIFORNIA,1,0,100,0
2021,CALIFORNIA,1,0,100,0
2022,CALIFORNIA,1,0,100,0
2010,COLORADO,1,0,100,0
2011,COLORADO,1,0,100,0
2012,COLORADO,1,0,100,0
2013,COLORADO,1,0,100,0
2014,COLORADO,0,1,0,100
2015,COLORADO,0,1,0,100
2016,COLORADO,1,0,100,0
2017,COLORADO,1,0,100,0
2018,COLORADO,1,0,100,0
2019,COLORADO,1,0,100,0
2020,COLORADO,1,0,100,0
2021,COLORADO,1,0,100,0
2022,COLORADO,1,0,100,0
2010,CONNECTICUT,1,0,100,0
2011,CONNECTICUT,1,0,100,0
2012,CONNECTICUT,1,0,100,0
2013,CONNECTICUT,1,0,100,0
2014,CONNECTICUT,1,0,100,0
2015,CONNECTICUT,1,0,100,0
2016,CONNECTICUT,1,0,100,0
2017,CONNECTICUT,1,0,100,0
2018,CONNECTICUT,1,0,100,0
2019,CONNECTICUT,1,0,100,0
2020,CONNECTICUT,1,0,100,0
2021,CONNECTICUT,1,0,100,0
2022,CONNECTICUT,1,0,100,0
2010,DELAWARE,1,0,100,0
2011,DELAWARE,1,0,100,0
2012,DELAWARE,1,0,100,0
2013,DELAWARE,1,0,100,0
2014,DELAWARE,1,0,100,0
2015,DELAWARE,1,0,100,0
2016,DELAWARE,1,0,100,0
2017,DELAWARE,1,0,100,0
2018,DELAWARE,1,0,100,0
2019,DELAWARE,1,0,100,0
2020,DELAWARE,1,0,100,0
2021,DELAWARE,1,0,100,0
2022,DELAWARE,1,0,100,0
2010,FLORIDA,0,1,0,100
2011,FLORIDA,0,1,0,100
2012,FLORIDA,1,0,100,0
2013,FLORIDA,1,0,100,0
2014,FLORIDA,1,0,100,0
2015,FLORIDA,1,0,100,0
2016,FLORIDA,0,1,0,100
2017,FLORIDA,0,1,0,100
2018,FLORIDA,0,1,0,100
2019,FLORIDA,0,1,0,100
2020,FLORIDA,0,1,0,100
2021,FLORIDA,0,1,0,100
2022,FLORIDA,0,1,0,100
2010,GEORGIA,0,1,0,100
2011,GEORGIA,0,1,0,100
2012,GEORGIA,0,1,0,100
2013,GEORGIA,0,1,0,100
2014,GEORGIA,0,1,0,100
2015,GEORGIA,0,1,0,100
2016,GEORGIA,0,1,0,100
2017,GEORGIA,0,1,0,100
2018,GEORGIA,0,1,0,100
2019,GEORGIA,0,1,0,100
2020,GEORGIA,1,1,50,50
2021,GEORGIA,1,1,50,50
2022,GEORGIA,1,1,50,50
2010,HAWAII,1,0,100,0
2011,HAWAII,1,0,100,0
2012,HAWAII,1,0,100,0
2013,HAWAII,1,0,100,0
2014,HAWAII,1,0,100,0
2015,HAWAII,1,0,100,0
2016,HAWAII,1,0,100,0
2017,HAWAII,1,0,100,0
2018,HAWAII,1,0,100,0
2019,HAWAII,1,0,100,0
2020,HAWAII,1,0,100,0
2021,HAWAII,1,0,100,0
2022,HAWAII,1,0,100,0
2010,IDAHO,0,1,0,100
2011,IDAHO,0,1,0,100
2012,IDAHO,0,1,0,100
2013,IDAHO,0,1,0,100
2014,IDAHO,0,1,0,100
2015,IDAHO,0,1,0,100
2016,IDAHO,0,1,0,100
2017,IDAHO,0,1,0,100
2018,IDAHO,0,1,0,100
2019,IDAHO,0,1,0,100
2020,IDAHO,0,1,0,100
2021,IDAHO,0,1,0,100
2022,IDAHO,0,1,0,100
2010,ILLINOIS,0,1,0,100
2011,ILLINOIS,0,1,0,100
2012,ILLINOIS,0,1,0,100
2013,ILLINOIS,0,1,0,100
2014,ILLINOIS,1,0,100,0
2015,ILLINOIS,1,0,100,0
2016,ILLINOIS,1,0,100,0
2017,ILLINOIS,1,0,100,0
2018,ILLINOIS,1,0,100,0
2019,ILLINOIS,1,0,100,0
2020,ILLINOIS,1,0,100,0
2021,ILLINOIS,1,0,100,0
2022,ILLINOIS,1,0,100,0
2010,INDIANA,0,1,0,100
2011,INDIANA,0,1,0,100
2012,INDIANA,1,0,100,0
2013,INDIANA,1,0,100,0
2014,INDIANA,1,0,100,0
2015,INDIANA,1,0,100,0
2016,INDIANA,0,1,0,100
2017,INDIANA,0,1,0,100
2018,INDIANA,0,1,0,100
2019,INDIANA,0,1,0,100
2020,INDIANA,0,1,0,100
2021,INDIANA,0,1,0,100
2022,INDIANA,0,1,0,100
2010,IOWA,0,1,0,100
2011,IOWA,0,1,0,100
2012,IOWA,0,1,0,100
2013,IOWA,0,1,0,100
2014,IOWA,0,1,0,100
2015,IOWA,0,1,0,100
2016,IOWA,0,1,0,100
2017,IOWA,0,1,0,100
2018,IOWA,0,1,0,100
2019,IOWA,0,1,0,100
2020,IOWA,0,1,0,100
2021,IOWA,0,1,0,100
2022,IOWA,0,1,0,100
2010,KANSAS,0,1,0,100
2011,KANSAS,0,1,0,100
2012,KANSAS,0,1,0,100
2013,KANSAS,0,1,0,100
2014,KANSAS,0,1,0,100
2015,KANSAS,0,1,0,100
2016,KANSAS,0,1,0,100
2017,KANSAS,0,1,0,100
2018,KANSAS,0,1,0,100
2019,KANSAS,0,1,0,100
2020,KANSAS,0,1,0,100
2021,KANSAS,0,1,0,100
2022,KANSAS,0,1,0,100
2010,KENTUCKY,0,1,0,100
2011,KENTUCKY,0,1,0,100
2012,KENTUCKY,0,1,0,100
2013,KENTUCKY,0,1,0,100
2014,KENTUCKY,0,1,0,100
2015,KENTUCKY,0,1,0,100
2016,KENTUCKY,0,1,0,100
2017,KENTUCKY,0,1,0,100
2018,KENTUCKY,0,1,0,100
2019,KENTUCKY,0,1,0,100
2020,KENTUCKY,0,1,0,100
2021,KENTUCKY,0,1,0,100
2022,KENTUCKY,0,1,0,100
2010,LOUISIANA,0,1,0,100
2011,LOUISIANA,0,1,0,100
2012,LOUISIANA,0,1,0,100
2013,LOUISIANA,0,1,0,100
2014,LOUISIANA,0,1,0,100
2015,LOUISIANA,0,1,0,100
2016,LOUISIANA,0,1,0,100
2017,LOUISIANA,0,1,0,100
2018,LOUISIANA,0,1,0,100
2019,LOUISIANA,0,1,0,100
2020,LOUISIANA,0,1,0,100
2021,LOUISIANA,0,1,0,100
2022,LOUISIANA,0,1,0,100
2010,MAINE,0,1,0,100
2011,MAINE,0,1,0,100
2012,MAINE,0,1,0,100
2013,MAINE,0,1,0,100
2014,MAINE,0,1,0,100
2015,MAINE,0,1,0,100
2016,MAINE,0,1,0,100
2017,MAINE,0,1,0,100
2018,MAINE,0,1,0,100
2019,MAINE,0,1,0,100
2020,MAINE,0,1,0,100
2021,MAINE,0,1,0,100
2022,MAINE,0,1,0,100
2010,MARYLAND,1,0,100,0
2011,MARYLAND,1,0,100,0
2012,MARYLAND,1,0,100,0
2013,MARYLAND,1,0,100,0
2014,MARYLAND,1,0,100,0
2015,MARYLAND,1,0,100,0
2016,MARYLAND,1,0,100,0
2017,MARYLAND,1,0,100,0
2018,MARYLAND,1,0,100,0
2019,MARYLAND,1,0,100,0
2020,MARYLAND,1,0,100,0
2021,MARYLAND,1,0,100,0
2022,MARYLAND,1,0,100,0
2010,MASSACHUSETTS,1,1,50,50
2011,MASSACHUSETTS,1,1,50,50
2012,MASSACHUSETTS,1,0,100,0
2013,MASSACHUSETTS,1,0,100,0
2014,MASSACHUSETTS,1,0,100,0
2015,MASSACHUSETTS,1,0,100,0
2016,MASSACHUSETTS,1,0,100,0
2017,MASSACHUSETTS,1,0,100,0
2018,MASSACHUSETTS,1,0,100,0
2019,MASSACHUSETTS,1,0,100,0
2020,MASSACHUSETTS,1,0,100,0
2021,MASSACHUSETTS,1,0,100,0
2022,MASSACHUSETTS,1,0,100,0
2010,MICHIGAN,1,0,100,0
2011,MICHIGAN,1,0,100,0
2012,MICHIGAN,1,0,100,0
2013,MICHIGAN,1,0,100,0
2014,MICHIGAN,1,0,100,0
2015,MICHIGAN,1,0,100,0
2016,MICHIGAN,1,0,100,0
2017,MICHIGAN,1,0,100,0
2018,MICHIGAN,1,0,100,0
2019,MICHIGAN,1,0,100,0
2020,MICHIGAN,1,0,100,0
2021,MICHIGAN,1,0,100,0
2022,MICHIGAN,1,0,100,0
2010,MINNESOTA,0,0,0,0
2011,MINNESOTA,0,0,0,0
2012,MINNESOTA,1,0,100,0
2013,MINNESOTA,1,0,100,0
2014,MINNESOTA,1,0,100,0
2015,MINNESOTA,1,0,100,0
2016,MINNESOTA,1,0,100,0
2017,MINNESOTA,1,0,100,0
2018,MINNESOTA,1,1,50,50
2019,MINNESOTA,1,1,50,50
2020,MINNESOTA,1,0,100,0
2021,MINNESOTA,1,0,100,0
2022,MINNESOTA,1,0,100,0
2010,MISSISSIPPI,0,0,0,0
2011,MISSISSIPPI,0,0,0,0
2012,MISSISSIPPI,0,1,0,100
2013,MISSISSIPPI,0,1,0,100
2014,MISSISSIPPI,0,1,0,100
2015,MISSISSIPPI,0,1,0,100
2016,MISSISSIPPI,0,1,0,100
2017,MISSISSIPPI,0,1,0,100
2018,MISSISSIPPI,0,2,0,100
2019,MISSISSIPPI,0,2,0,100
2020,MISSISSIPPI,0,1,0,100
2021,MISSISSIPPI,0,1,0,100
2022,MISSISSIPPI,0,1,0,100
2010,MISSOURI,0,1,0,100
2011,MISSOURI,0,1,0,100
2012,MISSOURI,1,0,100,0
2013,MISSOURI,1,0,100,0
2014,MISSOURI,1,0,100,0
2015,MISSOURI,1,0,100,0
2016,MISSOURI,0,1,0,100
2017,MISSOURI,0,1,0,100
2018,MISSOURI,0,1,0,100
2019,MISSOURI,0,1,0,100
2020,MISSOURI,0,1,0,100
2021,MISSOURI,0,1,0,100
2022,MISSOURI,0,1,0,100
2010,MONTANA,0,0,0,0
2011,MONTANA,0,0,0,0
2012,MONTANA,1,0,100,0
2013,MONTANA,1,0,100,0
2014,MONTANA,0,1,0,100
2015,MONTANA,0,1,0,100
2016,MONTANA,0,1,0,100
2017,MONTANA,0,1,0,100
2018,MONTANA,1,0,100,0
2019,MONTANA,1,0,100,0
2020,MONTANA,0,1,0,100
2021,MONTANA,0,1,0,100
2022,MONTANA,0,1,0,100
2010,NEBRASKA,0,0,0,0
2011,NEBRASKA,0,0,0,0
2012,NEBRASKA,0,1,0,100
2013,NEBRASKA,0,1,0,100
2014,NEBRASKA,0,1,0,100
2015,NEBRASKA,0,1,0,100
2016,NEBRASKA,0,1,0,100
2017,NEBRASKA,0,1,0,100
2018,NEBRASKA,0,1,0,100
2019,NEBRASKA,0,1,0,100
2020,NEBRASKA,0,1,0,100
2021,NEBRASKA,0,1,0,100
2022,NEBRASKA,0,1,0,100
2010,NEVADA,1,0,100,0
2011,NEVADA,1,0,100,0
2012,NEVADA,0,1,0,100
2013,NEVADA,0,1,0,100
2014,NEVADA,0,1,0,100
2015,NEVADA,0,1,0,100
2016,NEVADA,1,0,100,0
2017,NEVADA,1,0,100,0
2018,NEVADA,1,0,100,0
2019,NEVADA,1,0,100,0
2020,NEVADA,1,0,100,0
2021,NEVADA,1,0,100,0
2022,NEVADA,1,0,100,0
2010,NEW HAMPSHIRE,0,1,0,100
2011,NEW HAMPSHIRE,0,1,0,100
2012,NEW HAMPSHIRE,0,1,0,100
2013,NEW HAMPSHIRE,0,1,0,100
2014,NEW HAMPSHIRE,1,0,100,0
2015,NEW HAMPSHIRE,1,0,100,0
2016,NEW HAMPSHIRE,1,0,100,0
2017,NEW HAMPSHIRE,1,0,100,0
2018,NEW HAMPSHIRE,1,0,100,0
2019,NEW HAMPSHIRE,1,0,100,0
2020,NEW HAMPSHIRE,1,0,100,0
2021,NEW HAMPSHIRE,1,0,100,0
2022,NEW HAMPSHIRE,1,0,100,0
2010,NEW JERSEY,0,0,0,0
2011,NEW JERSEY,0,0,0,0
2012,NEW JERSEY,1,0,100,0
2013,NEW JERSEY,1,0,100,0
2014,NEW JERSEY,1,0,100,0
2015,NEW JERSEY,1,0,100,0
