governor,state,time_in_office,party,year
Phil Bryant,Mississippi,2016 - 2020,Republican,2020
Jeff Colyer,Kansas,2018 - 2019,Republican,2019
Ricardo Rosselló,Puerto Rico,2017 - 2019,New Progressive Party (Puerto Rico),2019
Phil Bryant,Mississippi,2016 - 2020,Republican,2019
Matt Bevin,Kentucky,2015 - 2019,Republican,2019
John Hickenlooper,Colorado,2015 - 2019,Democrat,2019
Nathan Deal,Georgia,2015 - 2019,Republican,2019
Bruce Rauner,Illinois,2015 - 2019,Republican,2019
Dannel Malloy,Connecticut,2015 - 2019,Democrat,2019
Rick Scott,Florida,2015 - 2019,Republican,2019
Eddie Baza Calvo,Guam,2015 - 2019,Republican,2019
Kenneth Mapp,Virgin Islands,2015 - 2019,Independent,2019
Bill Haslam,Tennessee,2011 - 2019,Republican,2019
John Kasich,Ohio,2011 - 2019,Republican,2019
Mary Fallin,Oklahoma,2011 - 2019,Republican,2019
Dennis Daugaard,South Dakota,2011 - 2019,Republican,2019
Paul LePage,Maine,2011 - 2019,Republican,2019
Edmund G. Brown Jr.,California,2011 - 2019,Democrat,2019
Mark Dayton,Minnesota,2011 - 2019,Democrat,2019
Brian Sandoval,Nevada,2011 - 2019,Republican,2019
Scott Walker,Wisconsin,2011 - 2019,Republican,2019
Matthew Mead,Wyoming,2011 - 2019,Republican,2019
Rick Snyder,Michigan,2011 - 2019,Republican,2019
Susana Martinez,New Mexico,2011 - 2019,Republican,2019
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2019
Jeff Colyer,Kansas,2018 - 2019,Republican,2018
Eric Greitens,Missouri,2017 - 2018,Republican,2018
Ricardo Rosselló,Puerto Rico,2017 - 2019,New Progressive Party (Puerto Rico),2018
Phil Bryant,Mississippi,2016 - 2020,Republican,2018
Matt Bevin,Kentucky,2015 - 2019,Republican,2018
John Hickenlooper,Colorado,2015 - 2019,Democrat,2018
Nathan Deal,Georgia,2015 - 2019,Republican,2018
Bruce Rauner,Illinois,2015 - 2019,Republican,2018
Sam Brownback,Kansas,2015 - 2018,Republican,2018
Dannel Malloy,Connecticut,2015 - 2019,Democrat,2018
Rick Scott,Florida,2015 - 2019,Republican,2018
Eddie Baza Calvo,Guam,2015 - 2019,Republican,2018
Kenneth Mapp,Virgin Islands,2015 - 2019,Independent,2018
Bill Walker,Alaska,2014 - 2018,Independent,2018
Terry McAuliffe,Virginia,2014 - 2018,Democrat,2018
Bill Haslam,Tennessee,2011 - 2019,Republican,2018
John Kasich,Ohio,2011 - 2019,Republican,2018
Mary Fallin,Oklahoma,2011 - 2019,Republican,2018
Dennis Daugaard,South Dakota,2011 - 2019,Republican,2018
Paul LePage,Maine,2011 - 2019,Republican,2018
Edmund G. Brown Jr.,California,2011 - 2019,Democrat,2018
Mark Dayton,Minnesota,2011 - 2019,Democrat,2018
Brian Sandoval,Nevada,2011 - 2019,Republican,2018
Scott Walker,Wisconsin,2011 - 2019,Republican,2018
Matthew Mead,Wyoming,2011 - 2019,Republican,2018
Rick Snyder,Michigan,2011 - 2019,Republican,2018
Susana Martinez,New Mexico,2011 - 2019,Republican,2018
Christopher Christie,New Jersey,2010 - 2018,Republican,2018
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2018
Eric Greitens,Missouri,2017 - 2018,Republican,2017
Chuck Morse,New Hampshire,2017 - 2017,Republican,2017
Ricardo Rosselló,Puerto Rico,2017 - 2019,New Progressive Party (Puerto Rico),2017
Phil Bryant,Mississippi,2016 - 2020,Republican,2017
Matt Bevin,Kentucky,2015 - 2019,Republican,2017
Earl Ray Tomblin,West Virginia,2015 - 2017,Democrat,2017
John Hickenlooper,Colorado,2015 - 2019,Democrat,2017
Nathan Deal,Georgia,2015 - 2019,Republican,2017
Bruce Rauner,Illinois,2015 - 2019,Republican,2017
Sam Brownback,Kansas,2015 - 2018,Republican,2017
Dannel Malloy,Connecticut,2015 - 2019,Democrat,2017
Rick Scott,Florida,2015 - 2019,Republican,2017
Eddie Baza Calvo,Guam,2015 - 2019,Republican,2017
Kenneth Mapp,Virgin Islands,2015 - 2019,Independent,2017
Bill Walker,Alaska,2014 - 2018,Independent,2017
Terry McAuliffe,Virginia,2014 - 2018,Democrat,2017
Mike Pence,Indiana,2013 - 2017,Republican,2017
Alejandro García Padilla,Puerto Rico,2013 - 2017,Popular Democratic Party,2017
Maggie Hassan,New Hampshire,2013 - 2017,Democrat,2017
Robert Bentley,Alabama,2011 - 2017,Republican,2017
Bill Haslam,Tennessee,2011 - 2019,Republican,2017
Terry E. Branstad,Iowa,2011 - 2017,Republican,2017
Nikki R. Haley,South Carolina,2011 - 2017,Republican,2017
John Kasich,Ohio,2011 - 2019,Republican,2017
