State,Year,Homeless_Rate,Political_Index,Temperature
ALABAMA,2010,126.34,12.6346,62.7
ARKANSAS,2010,94.53,49.9575,61.2
ARIZONA,2010,213.99,18.9225,60.4
CALIFORNIA,2010,330.87,48.4002,57.7
COLORADO,2010,306.74,77.2089,46.2
CONNECTICUT,2010,120.59,55.33,51.4
DELAWARE,2010,109.16,90.66,56.7
FLORIDA,2010,305.38,17.655,69.2
GEORGIA,2010,204.24,19.5348,63.0
IOWA,2010,98.8,60.7125,48.2
IDAHO,2010,149.36,9.245,43.3
ILLINOIS,2010,112.11,59.1036,52.9
INDIANA,2010,99.41,19.2967,52.6
KANSAS,2010,70.81,45.5975,55.3
KENTUCKY,2010,152.32,52.1092,56.0
LOUISIANA,2010,274.66,12.9921,66.5
MASSACHUSETTS,2010,253.51,70.8,50.4
MARYLAND,2010,187.35,85.7325,55.9
MAINE,2010,179.19,69.7075,44.6
MICHIGAN,2010,132.2,57.5925,47.1
MINNESOTA,2010,148.17,23.8075,42.8
MISSOURI,2010,135.46,54.1492,55.2
MISSISSIPPI,2010,92.34,15.84,63.5
MONTANA,2010,163.02,47.2075,41.6
NORTH CAROLINA,2010,127.33,58.3117,59.0
NORTH DAKOTA,2010,118.42,11.3975,40.9
NEBRASKA,2010,211.91,10.5975,49.3
NEW HAMPSHIRE,2010,119.54,48.7175,46.0
NEW JERSEY,2010,156.11,25.2342,54.7
NEW MEXICO,2010,168.32,62.7483,54.2
NEVADA,2010,414.63,40.7642,50.1
NEW YORK,2010,338.18,88.6814,47.3
OHIO,2010,108.92,53.6381,51.7
OKLAHOMA,2010,139.07,47.5875,60.3
OREGON,2010,507.94,85.6025,47.1
PENNSYLVANIA,2010,114.2,56.1759,50.1
RHODE ISLAND,2010,121.64,36.05,52.0
SOUTH CAROLINA,2010,96.49,14.6983,62.6
SOUTH DAKOTA,2010,89.57,11.425,45.1
TENNESSEE,2010,161.69,50.0369,57.9
TEXAS,2010,139.14,16.64,65.1
UTAH,2010,118.33,15.5342,48.3
VIRGINIA,2010,113.16,18.7495,55.9
VERMONT,2010,194.93,57.225,44.9
WASHINGTON,2010,339.29,80.7986,47.1
WISCONSIN,2010,111.29,56.765,45.5
WEST VIRGINIA,2010,122.1,72.4992,52.1
WYOMING,2010,102.57,43.36,42.0
ALABAMA,2011,115.81,12.6346,63.8
ARKANSAS,2011,116.44,49.9575,61.8
ARIZONA,2011,162.28,18.9225,60.3
CALIFORNIA,2011,332.45,83.4002,57.4
COLORADO,2011,295.17,77.2089,45.4
CONNECTICUT,2011,124.18,90.33,50.9
DELAWARE,2011,114.06,90.66,57.4
FLORIDA,2011,297.52,17.655,71.7
GEORGIA,2011,213.98,19.5348,64.6
IOWA,2011,102.21,25.7125,48.4
IDAHO,2011,138.83,9.245,42.4
ILLINOIS,2011,108.87,59.1036,53.2
INDIANA,2011,95.08,19.2967,53.1
KANSAS,2011,87.51,10.5975,55.2
KENTUCKY,2011,138.08,52.1092,56.9
LOUISIANA,2011,203.05,12.9921,67.7
MASSACHUSETTS,2011,251.97,70.8,49.7
MARYLAND,2011,174.81,85.7325,56.5
MAINE,2011,184.22,34.7075,42.8
MICHIGAN,2011,133.42,22.5925,45.6
MINNESOTA,2011,140.19,58.8075,42.0
MISSOURI,2011,149.56,54.1492,55.6
MISSISSIPPI,2011,77.42,15.84,64.5
MONTANA,2011,177.28,47.2075,41.6
NORTH CAROLINA,2011,133.53,58.3117,60.4
NORTH DAKOTA,2011,88.0,11.3975,40.7
NEBRASKA,2011,192.76,10.5975,48.8
NEW HAMPSHIRE,2011,111.27,48.7175,44.9
NEW JERSEY,2011,160.14,25.2342,54.9
NEW MEXICO,2011,173.09,27.7483,54.6
NEVADA,2011,337.3,40.7642,49.6
NEW YORK,2011,325.37,88.6814,47.1
OHIO,2011,112.87,18.6381,52.3
OKLAHOMA,2011,122.08,12.5875,61.6
OREGON,2011,445.61,85.6025,46.3
PENNSYLVANIA,2011,118.44,21.1759,50.4
RHODE ISLAND,2011,101.55,71.05,51.6
SOUTH CAROLINA,2011,109.01,14.6983,64.1
SOUTH DAKOTA,2011,100.29,11.425,44.8
TENNESSEE,2011,142.41,15.0369,58.9
TEXAS,2011,143.93,16.64,67.3
UTAH,2011,111.21,15.5342,47.6
VIRGINIA,2011,108.82,18.7495,57.0
VERMONT,2011,182.44,92.225,44.3
WASHINGTON,2011,299.4,80.7986,45.5
WISCONSIN,2011,101.4,21.765,44.1
WEST VIRGINIA,2011,119.11,72.4992,53.5
WYOMING,2011,182.97,8.36,41.1
ALABAMA,2012,108.17,12.5521,64.9
ARKANSAS,2012,142.74,44.4625,63.6
ARIZONA,2012,172.42,22.4586,62.1
CALIFORNIA,2012,316.47,84.8071,59.5
COLORADO,2012,322.92,76.7589,48.3
CONNECTICUT,2012,117.09,89.6925,52.5
DELAWARE,2012,110.14,89.8625,58.5
FLORIDA,2012,285.89,40.0174,71.9
GEORGIA,2012,207.2,18.6529,65.5
IOWA,2012,95.18,23.24,52.1
IDAHO,2012,123.36,8.395,45.1
ILLINOIS,2012,109.79,62.9783,55.8
INDIANA,2012,95.74,35.6444,55.1
KANSAS,2012,93.02,9.7225,58.2
KENTUCKY,2012,119.23,47.9483,58.4
LOUISIANA,2012,168.92,13.6458,68.7
MASSACHUSETTS,2012,262.66,90.4475,51.3
MARYLAND,2012,160.59,88.33,57.5
MAINE,2012,180.23,34.465,43.9
MICHIGAN,2012,127.23,40.8429,48.4
MINNESOTA,2012,144.03,79.9136,45.2
MISSOURI,2012,169.93,71.305,58.6
MISSISSIPPI,2012,80.87,16.05,65.7
